3352-87-2	Developmental Toxicity-fetal death mouse
96744-75-1	Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-weight dec. mouse; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-fetal death rodent
150-69-6	Genetic Toxicity -SCE in vitro; Reproductive Toxicity -repro rat male; Reproductive Toxicity -sperm rodentPositive; Genetic Toxicity -In vitro chrom. ab. HL cells; Genetic Toxicity -In vitro chrom. ab. CHL; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Genetic Toxicity -E. coli; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity -repro rodent male; Genetic Toxicity -In vitro composite; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Cardiological Effects -torsades; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-structural mouse; Genetic Toxicity -UDS rat hepatocytes; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-post impl. loss rodent
50528-97-7	Reproductive Toxicity -repro rat male; Developmental Toxicity-retardation rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity-carc mouse female; Genetic Toxicity -In vitro composite; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-structural mouse; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity-carc rat male
63449-39-8	Genetic Toxicity -drosophila HT; Reproductive Toxicity-carc mouse male; Human Adverse Cardiological Effects -tachycardia; Neurotoxicityy-pup behavior mouse; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rodent; Reproductive Toxicity- C3H10T1-2; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -mam. mutation DL
50438-75-0	Genetic Toxicity -drosophila SLRL; Reproductive Toxicity-cell transformation; Developmental Toxicity-post impl. loss mouse; Genetic Toxicity -mouse lymphoma; Genetic Toxicity -microbial; Genetic Toxicity -drosophila HT; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-weight dec. mouse; Reproductive Toxicity-SHE; Genetic Toxicity -s. cerevisiae; Developmental Toxicity-pre impl. loss rodent; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -torsades; Genetic Toxicity -micronucleus mouse; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-weight dec. rodent; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells; Genetic Toxicity -In vitro chrom. ab. other cells; Developmental Toxicity-structural rat; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent; Genetic Toxicity -yeast
66871-56-5	Genetic Toxicity -SCE in vitro; Reproductive Toxicity -repro rat male; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-carc mouse female; Genetic Toxicity -s. cerevisiae; Genetic Toxicity -SCE in vitro CHO; Developmental Toxicity-weight dec. rat; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-structural mouse; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat; Genetic Toxicity -SCE in vitro other cells; Developmental Toxicity-fetal death rodent; Reproductive Toxicity-carc rat male
19368-18-4	Reproductive Toxicity -repro rat male; Developmental Toxicity-structural rodent; Reproductive Toxicity -sperm rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-carc mouse female; Developmental Toxicity-fetal death mouse; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-visceral rat; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Developmental Toxicity-structural rat; Reproductive Toxicity-carc rat male
64628-44-0	Genetic Toxicity -SCE in vitro; Human Adverse Hepatobiliary Effects -liver acute; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Genetic Toxicity -SCE in vitro CHO; Human Adverse Cardiological Effects -torsades; Human Adverse Hepatobiliary Effects -jaundice; Reproductive Toxicity- C3H10T1-2; Developmental Toxicity-fetal death rat
632-69-9	Genetic Toxicity -SCE in vitro; Developmental Toxicity-retardation rat; Reproductive Toxicity -sperm rat; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-carc rat female; Reproductive Toxicity -repro rodent female; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-structural mouse; Reproductive Toxicity -repro rat female
84-12-8	Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Cardiological Effects -tachycardia; Reproductive Toxicity-SHE; Human Adverse Cardiological Effects -torsades; Genetic Toxicity -UDS; Developmental Toxicity-structural rabbit; Developmental Toxicity-structural rat
445295-04-5	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-pre impl. loss rat; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc rat female; Developmental Toxicity-pre impl. loss rodent; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-visceral rat; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-visceral rodent; Reproductive Toxicity-carc rat male; Genetic Toxicity -yeast
136087-85-9	Reproductive Toxicity -repro rat male; Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-structural rodent; Human Adverse Hepatobiliary Effects -liver acute; Developmental Toxicity-retardation rat; Developmental Toxicity-visceral mouse; Human Adverse Cardiological Effects -tachycardia; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rat; Human Adverse Urinary Effects -bladder; Human Adverse Cardiological Effects -torsades; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Developmental Toxicity-fetal death rat; Developmental Toxicity-fetal death rodent
162706-14-1	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Cardiological Effects -tachycardia; Human Adverse Urinary Effects -blood urine; Human Adverse Cardiological Effects -torsades; Developmental Toxicity-structural rabbit; Developmental Toxicity-structural rat
25507-04-4	Human Adverse Urinary Effects -nephropathy; Human Adverse Cardiological Effects -torsades; Human Adverse Urinary Effects -kidney function
81938-43-4	Human Adverse Urinary Effects -nephropathy; Human Adverse Cardiological Effects -torsades; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
80-77-3	Human Adverse Hepatobiliary Effects -enzyme release
117718-60-2	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Hepatobiliary Effects -jaundice
82626-01-5	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release
68302-57-8	Human Adverse Hepatobiliary Effects -enzyme release; Reproductive Toxicity-carc mouse male; Reproductive Toxicity-carc rat female; Developmental Toxicity-pre impl. loss mouse
1641-74-3	Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Human Adverse Hepatobiliary Effects -enzyme releasePositive; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-post impl. loss rodent
101530-10-3	Human Adverse Hepatobiliary Effects -gall bladder
1187-42-4	Human Adverse Hepatobiliary Effects -gall bladder
153559-49-0	Developmental Toxicity-structural rodent; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-visceral rat; Developmental Toxicity-structural rat
70374-39-9	Human Adverse Hepatobiliary Effects -jaundice
1665-48-1	Developmental Toxicity-pre impl. loss rabbit; Human Adverse Hepatobiliary Effects -jaundice
58493-49-5	Human Adverse Hepatobiliary Effects -gall bladder; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-visceral rodent
2444-46-4	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -gall bladder; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-visceral rodent
404-86-4	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-visceral rodent
64603-91-4	Neurotoxicityy-pup behavior rodent; Human Adverse Hepatobiliary Effects -jaundice
5902-51-2	Reproductive Toxicity -repro rat male; Developmental Toxicity-retardation rat; Reproductive Toxicity -sperm rat; Developmental Toxicity-visceral mouse; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rat; Reproductive Toxicity -repro rodent male; Developmental Toxicity-pre impl. loss rodent; Developmental Toxicity-fetal death mouse; Developmental Toxicity-weight dec. rat; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-structural mouse; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-post impl. loss rodent
59804-37-4	Reproductive Toxicity-carc mouse male; Human Adverse Hepatobiliary Effects -jaundice
541-53-7	Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Reproductive Toxicity -sperm rat; Reproductive Toxicity -repro rodent male; Developmental Toxicity-structural rabbit; Developmental Toxicity-structural rat; Developmental Toxicity-post impl. loss rodent
82626-48-0	Human Adverse Hepatobiliary Effects -liver acute; Reproductive Toxicity-carc mouse male; Reproductive Toxicity-carc mouse female
50357-61-4	Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute
115103-85-0	Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Reproductive Toxicity-SHE; Developmental Toxicity-structural mouse
1670-14-0	Human Adverse Urinary Effects -bladder
1217623-74-9	Human Adverse Urinary Effects -bladder
14933-08-5	Human Adverse Urinary Effects -bladder
79944-58-4	Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-fetal death rat
13187-06-9	Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death rodent
35578-47-3	Developmental Toxicity-retardation rat; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death rodent
125-86-0	Developmental Toxicity-post impl. loss rabbit; Human Adverse Urinary Effects -bladder; Developmental Toxicity-pre impl. loss rabbit
1642-54-2	Developmental Toxicity-structural rodent; Developmental Toxicity-post impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
1176-08-5	Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent
52432-72-1	Developmental Toxicity-retardation rabbit; Developmental Toxicity-pre impl. loss rat; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Developmental Toxicity-weight dec. rodent
15362-40-0	Human Adverse Hepatobiliary Effects -enzyme release; Developmental Toxicity-visceral mouse; Human Adverse Urinary Effects -bladder; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity -sperm rodent
1508-75-4	Human Adverse Urinary Effects -blood urine; Human Adverse Urinary Effects -bladder
36589-58-9	Human Adverse Urinary Effects -blood urine; Human Adverse Urinary Effects -bladder; Developmental Toxicity-structural rat
19767-45-4	Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent male; Human Adverse Urinary Effects -bladder; Developmental Toxicity-structural rat
1561-92-8	Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent male; Human Adverse Urinary Effects -bladder; Developmental Toxicity-structural rat
207233-91-8	Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent male; Human Adverse Urinary Effects -bladder; Developmental Toxicity-structural rat
107-35-7	Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent male; Human Adverse Urinary Effects -bladder; Developmental Toxicity-structural rat
145022-45-3	Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent male; Reproductive Toxicity -repro rodent malePositive; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rat; Developmental Toxicity-fetal death rat; Developmental Toxicity-structural rat; Developmental Toxicity-fetal death rodent
342789-81-5	Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent male; Developmental Toxicity-pre impl. loss rodent; Reproductive Toxicity -repro rodent malePositive; Human Adverse Urinary Effects -bladder; Developmental Toxicity-fetal death mouse; Developmental Toxicity-visceral rat; Developmental Toxicity-structural mouse; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-fetal death rat; Developmental Toxicity-structural rat; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
59227-89-3	Human Adverse Urinary Effects -bladder; Neurotoxicityy-pup behavior rodent
315-80-0	Developmental Toxicity-retardation rat; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-fetal death rat
1225-55-4	Reproductive Toxicity -repro rodent female; Human Adverse Urinary Effects -bladder; Developmental Toxicity-pre impl. loss rabbit; Neurotoxicityy-pup behavior rodent; Reproductive Toxicity -repro rat female
3691-35-8	Developmental Toxicity-pre impl. loss rat; Reproductive Toxicity -repro rodent female; Human Adverse Urinary Effects -bladder; Reproductive Toxicity -sperm rodent; Reproductive Toxicity- C3H10T1-2
88671-89-0	Reproductive Toxicity-carc mouse female; Reproductive Toxicity -repro rodent female; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat
3012-65-5	Developmental Toxicity-pre impl. loss rodent; Reproductive Toxicity -repro rodent malePositive; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
77-92-9	Developmental Toxicity-pre impl. loss rodent; Reproductive Toxicity -repro rodent malePositive; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
83966-24-9	Developmental Toxicity-pre impl. loss rodent; Reproductive Toxicity -repro rodent malePositive; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rodent; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
1861-32-1	Reproductive Toxicity-cell transformation; Developmental Toxicity-retardation rat; Reproductive Toxicity -sperm rat; Human Adverse Urinary Effects -bladder; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent
143482-60-4	Reproductive Toxicity-carc mouse female; Human Adverse Urinary Effects -bladder
129273-38-7	Developmental Toxicity-visceral mouse; Reproductive Toxicity-carc mouse female; Human Adverse Urinary Effects -bladder; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Developmental Toxicity-structural mouse; Developmental Toxicity-fetal death rat; Developmental Toxicity-structural rat
719-32-4	Reproductive Toxicity-carc mouse male; Reproductive Toxicity-carc mouse female; Human Adverse Urinary Effects -bladder
177036-94-1	Reproductive Toxicity-carc rat female; Developmental Toxicity-weight dec. mouse; Human Adverse Urinary Effects -bladder; Developmental Toxicity-pre impl. loss mouse; Developmental Toxicity-structural rat
10001-13-5	Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -bladder
54856-23-4	Developmental Toxicity-visceral rat; Developmental Toxicity-structural rat; Human Adverse Urinary Effects -bladderPositive
104795-68-8	Human Adverse Urinary Effects -blood urine
25812-30-0	Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-visceral rat; Developmental Toxicity-structural rat
34580-13-7	Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -jaundice
140-64-7	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Urinary Effects -blood urine
31386-24-0	Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity-SHE
1984-15-2	Human Adverse Urinary Effects -kidney function
59-58-5	Developmental Toxicity-visceral mouse; Developmental Toxicity-pre impl. loss rat; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-fetal death mouse; Developmental Toxicity-weight dec. rat; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-structural rat
67-16-3	Developmental Toxicity-visceral mouse; Developmental Toxicity-pre impl. loss rat; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-fetal death mouse; Developmental Toxicity-weight dec. rat; Developmental Toxicity-structural mouse; Developmental Toxicity-visceral rodent; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-structural rat
50892-23-4	Reproductive Toxicity-cell transformation; Reproductive Toxicity-SHE; Reproductive Toxicity-carc rat; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
75498-96-3	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity -repro rodent female; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
5575-21-3	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-weight dec. mouse; Developmental Toxicity-fetal death mouse; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
52152-93-9	Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity-SHE; Developmental Toxicity-fetal death mouse; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
35607-66-0	Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
30034-03-8	Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
42540-40-9	Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
61270-78-8	Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
88889-14-9	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
147816-23-7	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc rat female; Reproductive Toxicity -repro rodent malePositive; Developmental Toxicity-pre impl. loss rabbit; Reproductive Toxicity-carc rat; Developmental Toxicity-weight dec. rodent; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney; Developmental Toxicity-fetal death rodent
117467-28-4	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-post impl. loss rabbit; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rat; Human Adverse Urinary Effects -kidney
55268-75-2	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Developmental Toxicity-visceral mouse; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc rat female; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Reproductive Toxicity-carc rodent; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney; Developmental Toxicity-fetal death rodent
62893-20-3	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
66309-69-1	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rat; Human Adverse Urinary Effects -kidney
70797-11-4	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
75738-58-8	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
78439-06-2	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney; Developmental Toxicity-fetal death rodent
86329-79-5	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rat; Human Adverse Urinary Effects -kidney
123171-59-5	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc rat female; Reproductive Toxicity-carc rat; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney; Reproductive Toxicity-carc rat male
104376-79-6	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-carc mouse male; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc mouse female; Human Adverse Hepatobiliary Effects -jaundice; Reproductive Toxicity-carc rodent; Human Adverse Urinary Effects -kidney function; Human Adverse Urinary Effects -kidney
63585-09-1	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -kidney function
1847-24-1	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
34214-51-2	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
13412-64-1	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
642-78-4	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Hepatobiliary Effects -liver acute; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
74711-43-6	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-pre impl. loss rat; Human Adverse Urinary Effects -bladder; Developmental Toxicity-visceral rodent; Human Adverse Urinary Effects -kidney function
71109-09-6	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -enzyme release; Developmental Toxicity-retardation rat; Human Adverse Urinary Effects -blood urine; Human Adverse Urinary Effects -bladder; Human Adverse Urinary Effects -kidney function
40828-46-4	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Developmental Toxicity-retardation rat; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
69956-77-0	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -blood urine; Neurotoxicityy-pup behavior mouse; Developmental Toxicity-post impl. loss rabbit; Human Adverse Urinary Effects -bladder; Human Adverse Urinary Effects -kidney function; Reproductive Toxicity -repro rat female
