CASRNUID	CASRN	TestSubstance_ChemName	Molecular_Formular	IUPAC_Name	InChI	InChIKey	SMILES
7283	75847-73-3	Enalapril	C20H28N2O5	(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid	InChI=1S/C20H28N2O5/c1-3-27-20(26)16(12-11-15-8-5-4-6-9-15)21-14(2)18(23)22-13-7-10-17(22)19(24)25/h4-6,8-9,14,16-17,21H,3,7,10-13H2,1-2H3,(H,24,25)/t14-,16-,17-/m0/s1	GBXSMTUPTTWBMN-XIRDDKMYSA-N	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
7284	7585-39-9	beta-Cyclodextrin	C42H70O35		InChI=1S/C42H70O35/c43-1-8-29-15(50)22(57)36(64-8)72-30-9(2-44)66-38(24(59)17(30)52)74-32-11(4-46)68-40(26(61)19(32)54)76-34-13(6-48)70-42(28(63)21(34)56)77-35-14(7-49)69-41(27(62)20(35)55)75-33-12(5-47)67-39(25(60)18(33)53)73-31-10(3-45)65-37(71-29)23(58)16(31)51/h8-63H,1-7H2/t8-,9-,10-,11-,12-,13-,14-,15-,16-,17-,18-,19-,20-,21-,22-,23-,24-,25-,26-,27-,28-,29-,30-,31-,32-,33-,34-,35-,36-,37-,38-,39-,40-,41-,42-/m1/s1	WHGYBXFWUBPSRW-FOUAGVGXSA-N	OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
7285	75859-03-9	Rimcazole dihydrochloride	C21H29Cl2N3	9-[3-[(3R,5S)-3,5-dimethylpiperazin-1-yl]propyl]carbazole;dihydrochloride	InChI=1S/C21H27N3.2ClH/c1-16-14-23(15-17(2)22-16)12-7-13-24-20-10-5-3-8-18(20)19-9-4-6-11-21(19)24;;/h3-6,8-11,16-17,22H,7,12-15H2,1-2H3;2*1H/t16-,17+;;	ZWHRZGHGYMUSRM-VWDRLOGHSA-N	Cl.Cl.C[C@H]1CN(CCCN2C3=C(C=CC=C3)C3=C2C=CC=C3)C[C@@H](C)N1
7286	75887-54-6	Artemotil	C17H28O5		InChI=1S/C17H28O5/c1-5-18-14-11(3)13-7-6-10(2)12-8-9-16(4)20-15(19-14)17(12,13)22-21-16/h10-15H,5-9H2,1-4H3/t10-,11-,12+,13+,14+,15-,16?,17-/m1/s1	NLYNIRQVMRLPIQ-BVCZABNKSA-N	CCO[C@H]1O[C@@H]2OC3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
7287	75899-68-2	4-Hydroxy-2-nonenal	C9H16O2	(E)-4-hydroxynon-2-enal	InChI=1S/C9H16O2/c1-2-3-4-6-9(11)7-5-8-10/h5,7-9,11H,2-4,6H2,1H3/b7-5+	JVJFIQYAHPMBBX-FNORWQNLSA-N	CCCCCC(O)\C=C\C=O
7288	759-73-9	1-Ethyl-1-nitrosourea	C3H7N3O2	1-ethyl-1-nitrosourea	InChI=1S/C3H7N3O2/c1-2-6(5-8)3(4)7/h2H2,1H3,(H2,4,7)	FUSGACRLAFQQRL-UHFFFAOYSA-N	CCN(N=O)C(N)=O
7289	759-94-4	EPTC	C9H19NOS	S-ethyl N,N-dipropylcarbamothioate	InChI=1S/C9H19NOS/c1-4-7-10(8-5-2)9(11)12-6-3/h4-8H2,1-3H3	GUVLYNGULCJVDO-UHFFFAOYSA-N	CCCN(CCC)C(=O)SCC
7290	759437-26-8	Ubistatin A	C34H24N4O16S4	8-hydroxy-7-[[4-[(E)-2-[4-[(8-hydroxy-5-sulfoquinoline-7-carbonyl)amino]-2-sulfophenyl]ethenyl]-3-sulfophenyl]carbamoyl]quinoline-5-sulfonic acid	InChI=1S/C34H24N4O16S4/c39-31-23(15-27(57(49,50)51)21-3-1-11-35-29(21)31)33(41)37-19-9-7-17(25(13-19)55(43,44)45)5-6-18-8-10-20(14-26(18)56(46,47)48)38-34(42)24-16-28(58(52,53)54)22-4-2-12-36-30(22)32(24)40/h1-16,39-40H,(H,37,41)(H,38,42)(H,43,44,45)(H,46,47,48)(H,49,50,51)(H,52,53,54)/b6-5+	NNHYHQPZMITHQP-AATRIKPKSA-N	OC1=C2N=CC=CC2=C(C=C1C(=O)NC1=CC=C(\C=C\C2=CC=C(NC(=O)C3=C(O)C4=NC=CC=C4C(=C3)S(O)(=O)=O)C=C2S(O)(=O)=O)C(=C1)S(O)(=O)=O)S(O)(=O)=O
7291	75963-52-9	Nuclomedone	C13H11ClN2O2S	6-[(4-chlorophenyl)methyl]-2,3-dihydro-[1,3]thiazolo[3,2-a]pyrimidine-5,7-dione	InChI=1S/C13H11ClN2O2S/c14-9-3-1-8(2-4-9)7-10-11(17)15-13-16(12(10)18)5-6-19-13/h1-4,10H,5-7H2	QSKVYHYMQQQAFS-UHFFFAOYSA-N	ClC1=CC=C(CC2C(=O)N=C3SCCN3C2=O)C=C1
7292	75980-60-8	Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide	C22H21O2P	diphenylphosphoryl-(2,4,6-trimethylphenyl)methanone	InChI=1S/C22H21O2P/c1-16-14-17(2)21(18(3)15-16)22(23)25(24,19-10-6-4-7-11-19)20-12-8-5-9-13-20/h4-15H,1-3H3	VFHVQBAGLAREND-UHFFFAOYSA-N	CC1=CC(C)=C(C(=O)P(=O)(C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1
7293	76-01-7	Pentachloroethane	C2HCl5	1,1,1,2,2-pentachloroethane	InChI=1S/C2HCl5/c3-1(4)2(5,6)7/h1H	BNIXVQGCZULYKV-UHFFFAOYSA-N	ClC(Cl)C(Cl)(Cl)Cl
7294	76-02-8	Trichloroacetyl chloride	C2Cl4O	2,2,2-trichloroacetyl chloride	InChI=1S/C2Cl4O/c3-1(7)2(4,5)6	PVFOMCVHYWHZJE-UHFFFAOYSA-N	ClC(=O)C(Cl)(Cl)Cl
7295	76-03-9	Trichloroacetic acid	C2HCl3O2	2,2,2-trichloroacetic acid	InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7)	YNJBWRMUSHSURL-UHFFFAOYSA-N	OC(=O)C(Cl)(Cl)Cl
7296	76-06-2	Chloropicrin	CCl3NO2	trichloro(nitro)methane	InChI=1S/CCl3NO2/c2-1(3,4)5(6)7	LFHISGNCFUNFFM-UHFFFAOYSA-N	[O-][N+](=O)C(Cl)(Cl)Cl
7297	76-12-0	1,2-Difluoro-1,1,2,2-tetrachloroethane	C2Cl4F2	1,1,2,2-tetrachloro-1,2-difluoroethane	InChI=1S/C2Cl4F2/c3-1(4,7)2(5,6)8	UGCSPKPEHQEOSR-UHFFFAOYSA-N	FC(Cl)(Cl)C(F)(Cl)Cl
7298	76-13-1	1,1,2-Trichloro-1,2,2-trifluoroethane	C2Cl3F3	1,1,2-trichloro-1,2,2-trifluoroethane	InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8	AJDIZQLSFPQPEY-UHFFFAOYSA-N	FC(F)(Cl)C(F)(Cl)Cl
7299	76-20-0	Sulfonethylmethane	C8H18O4S2	2,2-bis(ethylsulfonyl)butane	InChI=1S/C8H18O4S2/c1-5-8(4,13(9,10)6-2)14(11,12)7-3/h5-7H2,1-4H3	LKACJLUUJRMGFK-UHFFFAOYSA-N	CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC
7300	76-22-2	Camphor	C10H16O	4,7,7-trimethylbicyclo[2.2.1]heptan-3-one	InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3	DSSYKIVIOFKYAU-UHFFFAOYSA-N	CC1(C)C2CCC1(C)C(=O)C2
7301	76-25-5	Triamcinolone acetonide	C24H31FO6		InChI=1S/C24H31FO6/c1-20(2)30-19-10-16-15-6-5-13-9-14(27)7-8-21(13,3)23(15,25)17(28)11-22(16,4)24(19,31-20)18(29)12-26/h7-9,15-17,19,26,28H,5-6,10-12H2,1-4H3/t15-,16-,17-,19+,21-,22-,23-,24+/m0/s1	YNDXUCZADRHECN-JNQJZLCISA-N	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
7302	76-38-0	Methoxyflurane	C3H4Cl2F2O	2,2-dichloro-1,1-difluoro-1-methoxyethane	InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3	RFKMCNOHBTXSMU-UHFFFAOYSA-N	COC(F)(F)C(Cl)Cl
7303	76-39-1	2-Methyl-2-nitro-1-propanol	C4H9NO3	2-methyl-2-nitropropan-1-ol	InChI=1S/C4H9NO3/c1-4(2,3-6)5(7)8/h6H,3H2,1-2H3	MVGJRISPEUZYAQ-UHFFFAOYSA-N	CC(C)(CO)[N+]([O-])=O
7304	76-43-7	Fluoxymestrone	C20H29FO3	(8S,9R,10S,11S,13S,14S,17S)-9-fluoro-11,17-dihydroxy-10,13,17-trimethyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one	InChI=1S/C20H29FO3/c1-17-8-6-13(22)10-12(17)4-5-15-14-7-9-19(3,24)18(14,2)11-16(23)20(15,17)21/h10,14-16,23-24H,4-9,11H2,1-3H3/t14-,15-,16-,17-,18-,19-,20-/m0/s1	YLRFCQOZQXIBAB-RBZZARIASA-N	C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
7305	76-44-8	Heptachlor	C10H5Cl7		InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H	FRCCEHPWNOQAEU-UHFFFAOYSA-N	ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
7306	76-47-1	Hydrocortamate	C27H41NO6	[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] 2-(diethylamino)acetate	InChI=1S/C27H41NO6/c1-5-28(6-2)15-23(32)34-16-22(31)27(33)12-10-20-19-8-7-17-13-18(29)9-11-25(17,3)24(19)21(30)14-26(20,27)4/h13,19-21,24,30,33H,5-12,14-16H2,1-4H3/t19-,20-,21-,24+,25-,26-,27-/m0/s1	FWFVLWGEFDIZMJ-FOMYWIRZSA-N	CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
7307	76-49-3	Bornyl acetate	C12H20O2	[(3R)-4,7,7-trimethyl-3-bicyclo[2.2.1]heptanyl] acetate	InChI=1S/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3/t9?,10-,12?/m1/s1	KGEKLUUHTZCSIP-SQLBVSGCSA-N	CC(=O)O[C@@H]1CC2CCC1(C)C2(C)C
7308	76-57-3	Codeine	C18H21NO3	(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-ol	InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1	OROGSEYTTFOCAN-DNJOTXNNSA-N	COC1=C2O[C@H]3[C@@H](O)C=C[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CCN5C
7309	76-58-4	Ethylmorphine	C19H23NO3	(4R,4aR,7S,7aR,12bS)-9-ethoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-ol	InChI=1S/C19H23NO3/c1-3-22-15-7-4-11-10-13-12-5-6-14(21)18-19(12,8-9-20(13)2)16(11)17(15)23-18/h4-7,12-14,18,21H,3,8-10H2,1-2H3/t12-,13+,14-,18-,19-/m0/s1	OGDVEMNWJVYAJL-LEPYJNQMSA-N	CCOC1=C2O[C@H]3[C@@H](O)C=C[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CCN5C
7310	76-60-8	Bromcresol green	C21H14Br4O5S	2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxy-2-methylphenyl)-1,1-dioxo-2,1$l^{6}-benzoxathiol-3-yl]-3-methylphenol	InChI=1S/C21H14Br4O5S/c1-9-12(7-14(22)19(26)17(9)24)21(13-8-15(23)20(27)18(25)10(13)2)11-5-3-4-6-16(11)31(28,29)30-21/h3-8,26-27H,1-2H3	FRPHFZCDPYBUAU-UHFFFAOYSA-N	CC1=C(C=C(Br)C(O)=C1Br)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=C(C)C(Br)=C(O)C(Br)=C1
7311	76-74-4	Pentobarbital	C11H18N2O3	5-ethyl-5-pentan-2-yl-1,3-diazinane-2,4,6-trione	InChI=1S/C11H18N2O3/c1-4-6-7(3)11(5-2)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)	WEXRUCMBJFQVBZ-UHFFFAOYSA-N	CCCC(C)C1(CC)C(=O)NC(O)=NC1=O
7312	76-83-5	Trityl chloride	C19H15Cl	[chloro(diphenyl)methyl]benzene	InChI=1S/C19H15Cl/c20-19(16-10-4-1-5-11-16,17-12-6-2-7-13-17)18-14-8-3-9-15-18/h1-15H	JBWKIWSBJXDJDT-UHFFFAOYSA-N	ClC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
7313	76-87-9	Triphenyltin hydroxide	C18H16OSn	triphenyltin;hydrate	InChI=1S/3C6H5.H2O.Sn/c3*1-2-4-6-5-3-1;;/h3*1-5H;1H2;	NRHFWOJROOQKBK-UHFFFAOYSA-N	O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
7314	76-90-4	Mepenzolate bromide	C21H26BrNO3	(1,1-dimethylpiperidin-1-ium-3-yl) 2-hydroxy-2,2-diphenylacetate;bromide	InChI=1S/C21H26NO3.BrH/c1-22(2)15-9-14-19(16-22)25-20(23)21(24,17-10-5-3-6-11-17)18-12-7-4-8-13-18;/h3-8,10-13,19,24H,9,14-16H2,1-2H3;1H/q+1;/p-1	JRRNZNSGDSFFIR-UHFFFAOYSA-M	[Br-].C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
7315	760-23-6	3,4-Dichloro-1-butene	C4H6Cl2	3,4-dichlorobut-1-ene	InChI=1S/C4H6Cl2/c1-2-4(6)3-5/h2,4H,1,3H2	XVEASTGLHPVZNA-UHFFFAOYSA-N	ClCC(Cl)C=C
7316	760-67-8	2-Ethylhexanoyl chloride	C8H15ClO	2-ethylhexanoyl chloride	InChI=1S/C8H15ClO/c1-3-5-6-7(4-2)8(9)10/h7H,3-6H2,1-2H3	WFSGQBNCVASPMW-UHFFFAOYSA-N	CCCCC(CC)C(Cl)=O
7317	7601-55-0	Metocurine iodide	C40H48I2N2O6		InChI=1S/C40H48N2O6.2HI/c1-41(2)17-15-27-22-34(44-6)36-24-30(27)31(41)19-25-9-12-29(13-10-25)47-40-38-28(23-37(45-7)39(40)46-8)16-18-42(3,4)32(38)20-26-11-14-33(43-5)35(21-26)48-36;;/h9-14,21-24,31-32H,15-20H2,1-8H3;2*1H/q+2;;/p-2/t31-,32+;;/m0../s1	DIGFQJFCDPKEPF-OIUSMDOTSA-L	[I-].[I-].COC1=CC=C2C[C@@H]3C4=C(CC[N+]3(C)C)C=C(OC)C(OC)=C4OC3=CC=C(C[C@H]4C5=C(CC[N+]4(C)C)C=C(OC)C(OC1=C2)=C5)C=C3
7318	76014-81-8	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol	C10H15N3O2	N-(4-hydroxy-4-pyridin-3-ylbutyl)-N-methylnitrous amide	InChI=1S/C10H15N3O2/c1-13(12-15)7-3-5-10(14)9-4-2-6-11-8-9/h2,4,6,8,10,14H,3,5,7H2,1H3	OGRXKBUCZFFSTL-UHFFFAOYSA-N	CN(CCCC(O)C1=CC=CN=C1)N=O
7319	76150-91-9	1,4-Bis[2-(3,5-dichloropyridyloxy)]benzene	C16H8Cl4N2O2	3,5-dichloro-2-[4-(3,5-dichloropyridin-2-yl)oxyphenoxy]pyridine	InChI=1S/C16H8Cl4N2O2/c17-9-5-13(19)15(21-7-9)23-11-1-2-12(4-3-11)24-16-14(20)6-10(18)8-22-16/h1-8H	BAFKRPOFIYPKBQ-UHFFFAOYSA-N	ClC1=CC(Cl)=C(OC2=CC=C(OC3=NC=C(Cl)C=C3Cl)C=C2)N=C1
7320	7617-74-5	Laurixamine	C15H33NO	3-dodecoxypropan-1-amine	InChI=1S/C15H33NO/c1-2-3-4-5-6-7-8-9-10-11-14-17-15-12-13-16/h2-16H2,1H3	ZRJOUVOXPWNFOF-UHFFFAOYSA-N	CCCCCCCCCCCCOCCCN
7321	76180-96-6	IQ	C11H10N4	3-methylimidazo[4,5-f]quinolin-2-amine	InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)	ARZWATDYIYAUTA-UHFFFAOYSA-N	CN1C(N)=NC2=C1C=CC1=C2C=CC=N1
7322	762-04-9	Diethyl phosphite	C4H11O3P	diethyl hydrogen phosphite	InChI=1S/C4H11O3P/c1-3-6-8(5)7-4-2/h5H,3-4H2,1-2H3	SULWMEGSVQCTSK-UHFFFAOYSA-N	CCOP(O)OCC
7323	762-75-4	tert-Butyl formate	C5H10O2	tert-butyl formate	InChI=1S/C5H10O2/c1-5(2,3)7-4-6/h4H,1-3H3	RUPAXCPQAAOIPB-UHFFFAOYSA-N	CC(C)(C)OC=O
7324	76231-76-0	(-)-alpha,beta-Thujone	C10H16O	(1S,4R,5R)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-one	InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6-8H,4-5H2,1-3H3/t7-,8-,10+/m1/s1	USMNOWBWPHYOEA-MRTMQBJTSA-N	CC(C)[C@@]12C[C@@H]1C(C)C(=O)C2
7325	76283-09-5	4-Bromo-1-(bromomethyl)-2-fluoro-benzene	C7H5Br2F	4-bromo-1-(bromomethyl)-2-fluorobenzene	InChI=1S/C7H5Br2F/c8-4-5-1-2-6(9)3-7(5)10/h1-3H,4H2	XMHNLZXYPAULDF-UHFFFAOYSA-N	FC1=C(CBr)C=CC(Br)=C1
7326	763-29-1	2-Methylpent-1-ene	C7H14	2-methylhex-1-ene	InChI=1S/C7H14/c1-4-5-6-7(2)3/h2,4-6H2,1,3H3	IRUDSQHLKGNCGF-UHFFFAOYSA-N	CCCCC(C)=C
7327	763-32-6	3-Methylbut-3-en-1-ol	C5H10O	3-methylbut-3-en-1-ol	InChI=1S/C5H10O/c1-5(2)3-4-6/h6H,1,3-4H2,2H3	CPJRRXSHAYUTGL-UHFFFAOYSA-N	CC(=C)CCO
7328	763-69-9	Ethyl 3-ethoxypropionate	C7H14O3	ethyl 3-ethoxypropanoate	InChI=1S/C7H14O3/c1-3-9-6-5-7(8)10-4-2/h3-6H2,1-2H3	BHXIWUJLHYHGSJ-UHFFFAOYSA-N	CCOCCC(=O)OCC
7329	7631-86-9	Silica	O2Si	dioxosilane	InChI=1S/O2Si/c1-3-2	VYPSYNLAJGMNEJ-UHFFFAOYSA-N	O=[Si]=O
7330	7631-99-4	Sodium nitrate	NNaO3	sodium;nitrate	InChI=1S/NO3.Na/c2-1(3)4;/q-1;+1	VWDWKYIASSYTQR-UHFFFAOYSA-N	[Na+].[O-][N+]([O-])=O
7331	7632-00-0	Sodium nitrite	NNaO2	sodium;nitrite	InChI=1S/HNO2.Na/c2-1-3;/h(H,2,3);/q;+1/p-1	LPXPTNMVRIOKMN-UHFFFAOYSA-M	[Na+].[O-]N=O
7332	76333-53-4	(R)-(+)-Cathinone hydrochloride	C9H12ClNO	(2R)-2-amino-1-phenylpropan-1-one;hydrochloride	InChI=1S/C9H11NO.ClH/c1-7(10)9(11)8-5-3-2-4-6-8;/h2-7H,10H2,1H3;1H/t7-;/m1./s1	HPZCAKYHISJOIK-OGFXRTJISA-N	Cl.C[C@@H](N)C(=O)C1=CC=CC=C1
7333	764-41-0	1,4-Dichloro-2-butene	C4H6Cl2	1,4-dichlorobut-2-ene	InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2	FQDIANVAWVHZIR-UHFFFAOYSA-N	ClCC=CCCl
7334	764-42-1	Fumaronitrile	C4H2N2	(E)-but-2-enedinitrile	InChI=1S/C4H2N2/c5-3-1-2-4-6/h1-2H/b2-1+	KYPOHTVBFVELTG-OWOJBTEDSA-N	N#C\C=C\C#N
7335	764-85-2	Nonanoyl chloride	C9H17ClO	nonanoyl chloride	InChI=1S/C9H17ClO/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3	NTQYXUJLILNTFH-UHFFFAOYSA-N	CCCCCCCCC(Cl)=O
7336	764-99-8	{2-[2-(Ethenyloxy)ethoxy]ethoxy}ethene	C8H14O3	1-ethenoxy-2-(2-ethenoxyethoxy)ethane	InChI=1S/C8H14O3/c1-3-9-5-7-11-8-6-10-4-2/h3-4H,1-2,5-8H2	SAMJGBVVQUEMGC-UHFFFAOYSA-N	C=COCCOCCOC=C
7337	7642-64-0	Nandrolone furylpropionate	C25H32O4	[(8R,9S,10R,13S,14S,17S)-13-methyl-3-oxo-2,6,7,8,9,10,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl] 3-(furan-2-yl)propanoate	InChI=1S/C25H32O4/c1-25-13-12-20-19-8-5-17(26)15-16(19)4-7-21(20)22(25)9-10-23(25)29-24(27)11-6-18-3-2-14-28-18/h2-3,14-15,19-23H,4-13H2,1H3/t19-,20+,21+,22-,23-,25-/m0/s1	ICNIVTHKZKRHPD-YNFNDHOQSA-N	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OC(=O)CCC1=CC=CO1
7338	76420-72-9	Enalapril acid	C18H24N2O5	(2S)-1-[(2S)-2-[[(1R)-1-carboxy-3-phenylpropyl]amino]propanoyl]pyrrolidine-2-carboxylic acid	InChI=1S/C18H24N2O5/c1-12(16(21)20-11-5-8-15(20)18(24)25)19-14(17(22)23)10-9-13-6-3-2-4-7-13/h2-4,6-7,12,14-15,19H,5,8-11H2,1H3,(H,22,23)(H,24,25)/t12-,14+,15-/m0/s1	LZFZMUMEGBBDTC-CFVMTHIKSA-N	C[C@H](N[C@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
7339	7646-78-8	Tetrachlorostannane	Cl4Sn	tetrachlorostannane	InChI=1S/4ClH.Sn/h4*1H;/q;;;;+4/p-4	HPGGPRDJHPYFRM-UHFFFAOYSA-J	Cl[Sn](Cl)(Cl)Cl
7340	7646-85-7	Zinc chloride	Cl2Zn	dichlorozinc	InChI=1S/2ClH.Zn/h2*1H;/q;;+2/p-2	JIAARYAFYJHUJI-UHFFFAOYSA-L	Cl[Zn]Cl
7341	7647-10-01	Palladium(II) chloride	Cl2Pd	dichloropalladium	InChI=1S/2ClH.Pd/h2*1H;/q;;+2/p-2	PIBWKRNGBLPSSY-UHFFFAOYSA-L	Cl[Pd]Cl
7342	7647-15-6	Sodium bromide	BrNa	sodium;bromide	InChI=1S/BrH.Na/h1H;/q;+1/p-1	JHJLBTNAGRQEKS-UHFFFAOYSA-M	[Na+].[Br-]
7343	765-09-3	Tridecane,1-bromo-	C13H27Br	1-bromotridecane	InChI=1S/C13H27Br/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h2-13H2,1H3	BFDNZQUBFCYTIC-UHFFFAOYSA-N	CCCCCCCCCCCCCBr
7344	765-12-8	3,6,9,12-Tetraoxatetradeca-1,13-diene	C10H18O4	1,2-bis(2-ethenoxyethoxy)ethane	InChI=1S/C10H18O4/c1-3-11-5-7-13-9-10-14-8-6-12-4-2/h3-4H,1-2,5-10H2	CYIGRWUIQAVBFG-UHFFFAOYSA-N	C=COCCOCCOCCOC=C
7345	765-15-1	Lauryl thiocyanate	C13H25NS	dodecyl thiocyanate	InChI=1S/C13H25NS/c1-2-3-4-5-6-7-8-9-10-11-12-15-13-14/h2-12H2,1H3	RYZZMYXTNUJGMU-UHFFFAOYSA-N	CCCCCCCCCCCCSC#N
7346	765-70-8	3-Methyl-1,2-cyclopentanedione	C6H8O2	3-methylcyclopentane-1,2-dione	InChI=1S/C6H8O2/c1-4-2-3-5(7)6(4)8/h4H,2-3H2,1H3	OACYKCIZDVVNJL-UHFFFAOYSA-N	CC1CCC(=O)C1=O
7347	7654-03-07	Benmoxin	C15H16N2O	N'-(1-phenylethyl)benzohydrazide	InChI=1S/C15H16N2O/c1-12(13-8-4-2-5-9-13)16-17-15(18)14-10-6-3-7-11-14/h2-12,16H,1H3,(H,17,18)	BEWNZPMDJIGBED-UHFFFAOYSA-N	CC(NNC(=O)C1=CC=CC=C1)C1=CC=CC=C1
7348	76541-72-5	Mifobate	C11H17ClO7P2	[(4-chlorophenyl)-dimethoxyphosphorylmethyl] dimethyl phosphate	InChI=1S/C11H17ClO7P2/c1-15-20(13,16-2)11(19-21(14,17-3)18-4)9-5-7-10(12)8-6-9/h5-8,11H,1-4H3	VQHUQHAPWMNBLP-UHFFFAOYSA-N	COP(=O)(OC)OC(C1=CC=C(Cl)C=C1)P(=O)(OC)OC
7349	76568-02-0	Flosequinan	C11H10FNO2S	7-fluoro-1-methyl-3-methylsulfinylquinolin-4-one	InChI=1S/C11H10FNO2S/c1-13-6-10(16(2)15)11(14)8-4-3-7(12)5-9(8)13/h3-6H,1-2H3	UYGONJYYUKVHDD-UHFFFAOYSA-N	CN1C=C(C(=O)C2=C1C=C(F)C=C2)S(C)=O
7350	76578-14-8	Quizalofop-ethyl	C19H17ClN2O4	ethyl 2-[4-(6-chloroquinoxalin-2-yl)oxyphenoxy]propanoate	InChI=1S/C19H17ClN2O4/c1-3-24-19(23)12(2)25-14-5-7-15(8-6-14)26-18-11-21-17-10-13(20)4-9-16(17)22-18/h4-12H,3H2,1-2H3	OSUHJPCHFDQAIT-UHFFFAOYSA-N	CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1
7351	7659-86-1	2-Ethylhexyl sulfanylacetate	C10H20O2S	2-ethylhexyl 2-sulfanylacetate	InChI=1S/C10H20O2S/c1-3-5-6-9(4-2)7-12-10(11)8-13/h9,13H,3-8H2,1-2H3	OWHSTLLOZWTNTQ-UHFFFAOYSA-N	CCCCC(CC)COC(=O)CS
