100-02-7	SULT1A1; AMY2B
504-24-5	KCNA1; KCNA2; KCNA3; KCNA4; KCNA5; KCNA6; KCNA7; KCNA10; KCNB1; KCNB2; KCNC1; KCNC2; KCNC3; KCND1; KCND2; KCND3
504-63-2	ARF1; linB
505-95-3	ADH5
5051-62-7	ADRA2A; ADRA2B
50594-66-6	hemY; hemY
506-17-2	PPARD
506-32-1	; PTGS1; PPARA; NR1H4; RXRA
5060-32-2	ECHS1
50679-08-8	HRH1; KCNH2; CHRM3; CHRM1; CHRM5; CHRM4; CHRM2
50847-11-5	PDE4A; PDE4B; PDE4C; PDE4D; PDE3A
509-60-4	OPRM1; OPRD1; OPRK1; TRIM13; POMC
509-67-1	OPRM1; OPRK1; OPRD1
509-74-0	OPRM1
509-86-4	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2
50972-17-3	pbpA
51-06-9	SCN5A; DNMT1; KCNH2
51-12-7	MAOB; MAOA; COMT
51-17-2	cobT
51-21-8	TYMS
51-24-1	THRB
51-28-5	onr
51-34-3	CHRM1; SI; CHRM2; CHRM3; CHRM4; CHRM5; CHRNA4; CHRNB2
51-41-2	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; PAH; SLC18A2; SLC18A1
51-43-4	ADRA1A; ADRA1B; ADRB1; ADRB2; ADRA2A; ADRA2B; ADRA1D; TNF
51-45-6	HRH1; HRH2; HRH3; HRH4; SLC18A2
51-48-9	THRA; THRB; ITGAV; ITGB3
51-49-0	THRA; THRB; TPO
51-52-5	TPO
51-55-8	CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; GLRA1; CHRNA4; CHRNB2
51-61-6	DRD2; DRD1; DRD5; DRD3; DRD4; SLC6A3; DBH; HTR1A; HTR7; DRD1; DRD5; SLC6A2; SLC6A4; HTR3A; HTR3B; SOD1; SLC18A2
51-64-9	SLC18A2; SLC6A2; SLC6A3; TAAR1; ADRA1A; ADRA1B
51-71-8	MAOA; MAOB; AOC3; ABAT; GPT; GPT2; GAD65
51-84-3	ACHE; CHRM1; CHRM2; CHRM3; CHRM4; CHRNA7
51-92-3	GALE
51012-32-9	DRD2; DRD3; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR2A; HTR2B; HTR2C; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; HTR6; HTR7; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
51022-69-6	NR3C1; ANXA1
51022-71-0	CNR2; CNR1
51025-85-5	rpsL
5104-49-4	PTGS1; PTGS2
511-12-6	HTR1D; HTR1B; ADRA2A; HTR2B
51146-56-6	PTGS2; PTGS1; BCL2; THBD; PLAT; FABP2; PPARG; CFTR; SLC15A1; PPARA; GP1BA; S100A7
512-15-2	CHRM1
51264-14-3	TOP2A; KCNH2; ORM1; ALB
51276-47-2	glnA
51276-85-8	PLAU
51321-79-0	pyrB; CAD
51322-75-9	ADRA2A; ADRA2B; ADRA2C; NISCH; ADRA1A; ADRA1B; ADRA1D
51333-22-3	NR3C1; ANXA1
51384-51-1	ADRB1; ADRB2
514-65-8	CHRNA2; CHRM1
51411-04-2	AKR1B1
5142-23-4	tag
5147-00-2	PTGS1
51481-61-9	HRH2
51481-65-3	pbpA; pbp3; mrdA
5152-30-7	CHRNA2; CHRM2
51528-59-7	TPI1; mgsA; rhaD; fucA; kbaY; fbaA
51543-40-9	IKBKG
516-05-2	
517-09-9	ksi; ksi
517-60-2	PGAM2
51762-05-1	mrcB
51781-06-7	ADRB2; ADRB1
518-28-5	TOP2A; TUBA4A; TUBB
518-44-5	IGHG1
518-82-1	CSNK2A1; actIII; fabZ; AHR
51803-78-2	PTGS2; PLA2G2E; LTF
518048-05-0	pol
52-01-7	NR3C2; AR; PGR; NR3C1; CYP11B2; CYP17A1; SRD5A1; SRD5A2; SRD5A3; SHBG; CACNG1; CACNG2; CACNG3; CACNG4; CACNG5; CACNG6; CACNG7; CACNG8; CACNA2D1; CACNA2D2; CACNA2D3; CACNA2D4; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1B; CACNA1A; CACNA1E; CACNA1G; CACNA1H; CACNA1I; NR1I2
52-39-1	NR3C2; NR3C1
52-52-8	GRIN1
52-53-9	CACNA1C; CACNA1B; CACNA1A; KCNJ11; CACNA1G; CACNA1H; KCNH2; SLC6A4; ADRA1A; ADRA1B; ADRA1D
52-86-8	DRD2; DRD1; GRIN2B; HTR2A; DRD3; MCHR1; SLC18A2; HTR2C; SIGMAR1; HRH1; CHRM3; ADRA1A; ADRA2A; ADRA2B; ADRA2C; HTR1A; HTR6; HTR7
52-90-4	GCLM; GCLC; GOT1; CTH; CBS; CARS; MGMT; GSS; SLC19A3; CARS2; CSAD; NFS1; CDO1
520-18-3	UGT3A1
520-26-3	AURKB
520-27-4	AHR
520-31-0	PIM1
520-33-2	SOAT1; SOAT2; MTTP; SHBG
520-36-5	fabZ
521-15-3	ncsA
521-18-6	HSD17B1; AR; ESR1; NR3C2
52128-35-5	DHFR
522-00-9	CHRM1; GRIN3A; CHRM2
523-87-5	HRH1
5234-68-4	SDHA
52365-63-6	ADRA1A; ADRA2A; ADRB2; BCHE; ACHE
524-14-1	fabH
524067-21-8	MED1; VDR
52468-60-7	CACNA1G; CACNA1H; CACNA1I; HRH1; CALM1
52485-79-7	OPRM1; OPRK1; OPRD1; OPRL1
525-66-6	ADRB1; ADRB2; ADRB3; HTR1A; HTR1B
525-82-6	ncsA; ESRRA; ESRRB; CYP1B1
5250-39-5	pbpA
526-08-9	folP
526-36-3	ADRA1A; ADRA2A; ADRA2B; ADRA1B; ADRA1D; ADRA2C
52645-53-1	SCN1A; ESR1; NR1I2
527-17-3	NQO1
528-48-3	72; CDK6
528-50-7	celCCG; cel5A; 
52809-07-1	GRIA2; GRIK2
529-44-2	PIK3CG; JAK1
529-96-4	alr; hemL; hisC; dat; aspC; gabT; CCBL1; hisC; BCAT2; arnB
52942-31-1	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C; DRD2; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; HTR2A; HTR2C
53-03-2	NR3C1
53-16-7	ESR1; ESR2; AR; CYP19A1; SHBG
53-19-0	CYP11B1; FDX1; ESR1; PGR; AR
53-33-8	NR3C1
53-39-4	AR
53-43-0	ESR2; ESR1; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; AR; PPARA; SIGMAR1; NR1I2; NR1I3
53-59-8	ADH1B; POR; aroE; adh; fcl; asd; fadH; ME1; pntB; fabG; icd; AKR1B1; zwf; AKR1C2; HSD17B1; NNT; HSD11B1; SPR; PTR1; DCXR; IDH1; folA; AKR1C1; NOS1; G6PD; DHFR; hldD; MTHFD1; AKR1C3; BLVRB; icd; ; CRYZ; DHRS11; HMGCR; MDH1; ydhF; ptr2; HSD17B8; AKR1A1; actIII; DECR1; ; ; yhdN; petH; mtdA; ; FDXR; petH; dkgA; iolS; gapN; PTGR1; cysJ; AKR1B10; ; aldH; DHRS4L1; 
53-79-2	RPL10L; RPL13A; RPL23; RPL15; RPL19; RPL23A; RSL24D1; RPL26L1; RPL8; RPL37; RPL3; RPL11; aat
53-86-1	PTGS1; PTGS2; PLA2G2A; PTGR2; PPARG; GLO1; PTGDR2; PPARA; AKR1C3
530-78-9	PTGS2; PTGS1; AKR1C3; AR; PPARA; PPARG
5300-03-8	RARA; RXRA; RARB; RXRB; RARG; RXRG; IGFBP3; PSG5; CYP26C1
53016-31-2	PGR; ALB; AR
53074-96-7	PPIA
531-75-9	AR
531-95-3	ESR2; SHBG
53123-88-9	MTOR; FKBP1A; FGF2
53179-07-0	SLC6A4
53179-11-6	OPRM1; OPRD1; OPRK1; CACNA1A; POMC; CALM1; NR1I3
53179-13-8	FURIN
532-03-6	CA1
532-77-4	SCN5A; SCN10A
533-48-2	bioB; bioD1; bioD
533884-09-2	ESR2; ESR1
5344-90-1	CFD
536-33-4	inhA; katG
536-71-0	PRDX5; qacR; PRSS1; AOC1
53643-12-2	LYZ
53643-48-4	TUBB1
53648-55-8	OPRM1; OPRK1
536748-46-6	F10
537-46-2	SLC6A3; SLC6A4; SLC6A2; SLC18A2; SLC18A1; TAAR1; ADRA2A; ADRA2B; ADRA2C; MAOA; MAOB
53716-49-7	PTGS2; PTGS1
53745-23-6	tgt
53772-83-1	DRD1; DRD5; DRD2; ADRA1A; ADRA2A; HTR2A; HRH1
53902-12-8	HPGDS
53910-25-1	ADA
53994-73-3	pbp3; pbpA
54-05-7	GSTA2; TNF; TLR9; GST; HMGB1; GSTM1; ACE2
54-11-5	CHRNA4; CHRNA7; CHRNB2; CHRNA2; CHRNA3; CHRNA5; CHRNA6; CHRNA9; CHRNA10; CHRNB3; CHRNB4; CYP19A1; CHAT
54-31-9	SLC12A1; CA2; GPR35
54-32-0	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
54-36-4	CYP11B1; camC
54-42-2	TK
54-47-7	AGXT2; GAD1; CBS; KYNU; SHMT1; NFS1; GOT1; OAT; ODC1; AADAT; ABAT; PNPO; SGPL1; TAT; CCBL1; THNSL1; PYGL; SPTLC2; CSAD; HDC; AZIN2; SDS; GCAT; GLDC; GPT; PSAT1; ALAS1; AGXT; PDXP; SPTLC1; CTH; BCAT1; BCAT2; PROSC; FTCD; GOT2; PYGB; PYGM; DDC; GIG18; ; ; ; ; ALAS1; GAD2; DDC; PDXDC1; CCBL2; GADL1; SCLY; IGSF10; PHYKPL; GAD1; SHMT2; ALAS2; GPT2; MOCOS; SDSL; ; SRR; SEPSECS; SPTLC3; GAD65; TLH6
54-49-9	ADRA1A
54-64-8	MTR; SLC7A11; FXYD2
54-85-3	katG; inhA; CYP2C8; CYP1A2; CYP3A4; CYP2C19; folA
5401-94-5	NOS2; NOS3
54024-22-5	PGR; ESR1
54048-10-1	PGR; ESR1
54063-53-5	SCN5A; KCNH2; ADRB1; ADRB2
541-15-1	SLC22A4; SLC22A5; CRAT; SLC25A29; SLC25A20; CROT; CPT2; CPT1A; XDH; CES1; MPO
541-35-5	amiC
541-50-4	FAH
54143-55-4	SCN5A; SCN4A; KCNH2; RYR2
54182-58-0	PGA5; FGF2; EGF; FGA; FGB; FGG
54187-04-1	ADRA2A
542-78-9	bla
543-24-8	thiO
543-38-4	NOS3
54340-62-4	ADRB1; ADRB2; ADRB3
544-63-8	; ; ; ; PKIA; PRKACA; ; ; ; ; ; fadR; ECI2; RCVRN; CALM1; luxF; ; ABL1; lpxC; ; HNF4A; NCOA1; nef; fhuA; FKBP1A; PPP3R1; PPP3CA; pks18; gag-pol; TRAPPC3; INS; ; ; GM2A; ARF6; LY96; tonB; gag; gag-pol; ARF1; GUCA1A; nrdB; PVR; TLR4; PPARA
5451-52-5	fabH
54573-75-0	VDR
546-88-3	ureC; MMP12
546-93-0	GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B
548-04-9	GSTA1; GSTP1
548-73-2	DRD2; ADRA1A
548-93-6	phzF
54910-89-3	SLC6A4; HTR2C; CHRNA2; CHRNA3; CHRNB4; CKS1B; KCNH2
54965-21-8	TUBA1A; ; TUBB4B; 
55-63-0	NPR1
55-65-2	SLC6A2
55-73-2	ADRA2A; ADRA2B; ADRA2C; KCNJ1; ADRB1; ADRB2; ADRB3
55-91-4	ACHE; BCHE; TF
55-92-5	CHRM3
5502-78-3	folB
55079-83-9	RXRA; RARA; RARB; RARG; RXRB; RXRG; RBP1
5508-58-7	TNF; IL1B; IL6; NFKB2; NFKB1
550997-55-2	ESR2; NCOA1
551-11-1	PTGDR2
551-84-8	xylA
55142-85-3	P2RY12
552-94-3	PTGS2; PTGS1
552292-08-7	TACR1
552325-73-2	PRKACA; PKIA
55235-22-8	PAPS
55268-75-2	pbpA
553-12-8	FTL
55300-29-3	PTGS1; PTGS2
5534-09-8	NR3C1
5534-95-2	CCKBR
554-57-4	CA1; CA4; CA2; CA7; CA3
554-95-0	HBA1; HBB
555-30-6	ADRA2A; DDC
555-57-7	MAOB; MAOA
557795-19-4	PDGFRB; FLT1; KIT; KDR; FLT4; FLT3; CSF1R; PDGFRA
55837-20-2	COL1A1; MMP2
55837-27-9	SLC12A1
558447-26-0	CXCR4; CCR5
5587-89-3	DIO3
5588-33-0	HTR2A; DRD2
55981-09-4	por
55985-32-5	CACNA1C; CACNB2; CACNA2D1; CACNA1D; PDE1A; PDE1B; ADRA1A; ADRA1B; ADRA1D; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; CALM1
56-12-2	GATM; GABBR1; GABBR2
56-25-7	AHR
56-29-1	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2
56-40-6	GCAT; ALAS1; ALAS2; GARS; GRIN2A; BAAT; GPR18; GSS; GRIN2C; ; GLYAT; SHMT2; GLYATL2; GLYATL1; AGXT2; PIPOX; GRIN3B; GLRA1; AGXT; GLRB; SHMT1; GLRA3; GLRA2; GNMT; GATM
56-41-7	AGXT; ABAT; KYNU; AARS2; PHYKPL; GPT2; GPT; NFS1; SLC36A1; SLC7A8; AGXT2; AARS; SLC1A4
56-45-1	CBS; SDS; SRR; SPTLC2; SPTLC1; SARS; AGXT
56-54-2	SCN5A; KCNK1; KCNK6; KCNH2; ADRA1A; ADRA1B; ADRA1D
56-59-7	AVPR1A
56-65-5	ABL2; ABCB1; ABCG1; ABCC2; ABCA1; ACSS2; ALK; NAE1; PRKAA1; ARAF; ACVRL1; ACSL1; NT5C2; ASNA1; ABCC9; AKT1; ADRBK1; APAF1; ACSS1; ACVR1B; ACVR1; ABCB11; ASNS; CDK15; SLC25A4; ABCC8; ASS1; AFG3L2; ADRBK2; AMHR2; TNK2; ABL1; ADCY1; ABCC6; ABCC4; ABCC1; CFTR; PIK3CA; CSNK2A1; CSNK2B; P2RY11; PPP5C
56-73-5	glmS; GPI
56-75-7	rplP; draA; CD55
56-81-5	PPARD; HPGDS; celCCG; GSTP1; PLA2G2E; ISYNA1; dctD; ADH1B; ITPR1; PAEP; NAGA; cc4; bfr; TGFBR2; argG; eno; ARF1; mexA; PAPSS1; hisD; mutL; glpF; nrdB; mutY; TRDMT1
56-84-8	RNASE1; LYZ; SLC25A13; GOT1; ASPA; ASNS; ASS1; ACY1; GOT2; DARS; SLC25A12; ASPH; PAICS; CAD; ADSS; SLC1A1; GIG18; ASS; DARS2; ASRGL1; ADSSL1; ACY3
56-85-9	CTPS1; PPAT; GLUL
56-86-0	GRM1; GRM4; GRIK4; GRIK5; GRM7; GRM8; SLC1A7; OPLAH; PFAS; BCAT2; GRIN2D; GRID2; GRIN3B; GATB; GLS; GOT2; EPRS; ASNS; GLUL; GOT1; TAT; GPT; GGCX; SLC1A3; SLC1A2; SLC1A1; GCLC; SLC1A6; GLUD2; GMPS; BCAT1; ABAT; GRIN1; FPGS; ENPEP; GRIN2A; GRIN2B; GRIN2C; GIG18; EARS2; LGSN; NADSYN1; CCBL2; NAGS; AADAT; GRIN3A; GPT2; SLC25A18; SLC25A22; AASS; GLS2; DNPEP; GRID1; SLC7A11; CPQ; PSAT1; GLUD1; GRIK1; GRIA1; GCLM; FOLH1; GAD2; GAD1; FTCD; GRIA2; GRIA3; GRIA4; ALDH18A1; GRIK2; GRIK3
56-87-1	SLC7A1; SLC7A4; SLC7A3; SLC7A2; KARS
56-89-3	SLC7A11; CTNS; SLC7A9; SLC3A1
56030-54-7	OPRM1; OPRD1; OPRK1
561-27-3	OPRM1; OPRK1; OPRD1; CES1
56124-62-0	TOP2A
56180-94-0	MGAM; AMY2A; GAA; SI
56211-40-6	SLC12A1; SLC12A2
5630-53-5	ESR1
5633-20-5	CHRM3; CHRM2; CHRM1
5636-83-9	HRH1; CHRM2
5638-76-6	HRH1; HRH3
56391-56-1	rpsL
56420-45-2	CHD1; TOP2A
5652-32-4	MST; c-des; sseA; hcp; TST; ; glpE; hcp; sufS
56715-13-0	LTF; PLA2G2E
56741-95-8	folB
56796-20-4	mecA; mrcA; mrcB; ftsI; dacA; dacC
569-57-3	ESR1
569-65-3	HRH1; NR1I3
5697-56-3	; HSD11B1
56980-93-9	ADRB1; ADRB2; ADRB3; ADRA2A; ADRA2B; ADRA2C
56995-20-1	ADRA2A
57-00-1	CKM; CKMT1A; CKB; CKMT2; SLC6A8; GAMT
57-04-5	ALDOA; TPI1; ALDOB; fucA
57-10-3	PAEP; HNF4G; ; CYP2C8; TRAPPC3; ; RHO; SEC14L2; PPT1; PMP2; LALBA; PPARA
57-11-4	PLA2G2D; PPARA
57-13-6	ARG1; CA2; ; CTNNB1; yedY; folA
57-22-7	TUBB; TUBA4A
57-27-2	OPRM1; OPRK1; OPRD1; LY96
57-41-0	SCN5A; SCN1A; NR1I2; SCN1B; SCN3A; KCNH2; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A; SCN2A; SCN8A; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
57-42-1	OPRK1; GRIN1; GRIN2B; GRIN2A; GRIN2C; GRIN2D; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; OPRM1; SLC6A3; SLC6A2; SLC6A4; CES1
57-43-2	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2
57-44-3	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; CHRNA4; CHRNA7; GRIA2; GRIK2
57-47-6	ACHE; CHRNA4; CHRNB2
57-50-1	bgl3; ams; blaCTX-M-9a; ; blaCTX-M-14; blaCTX-M-27; hmuO; ATOX1; RTCB; ; scrY; sacB; algD; ACTA1; ampC; nos; LYZ; maf; TAS1R2
57-53-4	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
57-55-6	F13A1; linB; cs1; fucO; dhaB1
57-62-5	rpsC; rpsH; rpsS; rpsN; rpsG
57-63-6	ESR1; NR1I2
57-66-9	SLC22A6; SLC22A11; SLC22A8; PANX1; TAS2R16
57-68-1	folP
57-83-0	PGR; ESR1; NR3C2; CYP17A1; OPRK1; ORM1; NR3C1; AR; SHBG; ESR2
57-85-2	AR
57-88-5	RORA; NR1I3; VDR; CLEC4E
57-92-1	rpsL; PADI4
57-95-4	CHRNA2; HTR3A; ACHE; CHRNA7
57-96-5	ABCC2; ABCC1; SLC22A12; NR1I2
570406-98-3	ABCG2; MPL; SLC22A8
57041-67-5	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GLRA1; GRIA1; KCNA1; ATP2C1; ATP5D; MT-ND1
571-20-0	ESR2
571-22-2	AKR1D1
571190-30-2	CDK4; CDK6
57262-94-9	ADRA2A; ADRA2B; ADRA2C; HTR1A; HTR1B; HTR1D; HTR1E; HTR1F; HTR2A; HTR2B; HTR2C; HTR3A; HTR3B; HTR3C; HTR3D; HTR3E; HTR4; HTR6; HTR7
5728-52-9	CTSL
574-00-5	doxG
574-12-9	PPARA; PPARG
575-44-0	
57773-63-4	GNRHR
577778-58-6	XDH
57808-66-9	DRD2; DRD3
5786-21-0	DRD2; HTR2A; DRD1; DRD3; DRD4; HTR1A; HTR1B; HTR1D; HTR1E; HTR3A; HTR2C; HTR6; HTR7; HRH1; HRH4; ADRA1A; ADRA1B; ADRA2A; ADRA2B; ADRA2C; CHRM1; CHRM2; CHRM3; CHRM4; CHRM5; CALY; GSTP1
58-00-4	DRD3; DRD4; DRD2; ADRA2C; ADRA2B; HTR2C; DRD5; HTR1A; HTR2A; HTR2B; ADRA2A; DRD1; HTR1D; HTR1B; CALY
58-08-2	ADORA1; PDE4B; ADORA2A; RYR1; PDE1A; PDE1B; PDE1C; PDE10A; PDE4A; PDE4B; PDE4C; PDE4D; PDE7B; PDE2A; PDE3A; PDE3B; PDE5A; PDE6C; PDE11A; PDE7A; PDE8A; PDE8B; PDE9A; PDE6A; PDE6B; PRKDC; PIK3CD; PIK3CA; PIK3CB; ITPR1; ITPR2; ITPR3; ATM; ADORA2B; ADORA3; PDE1B; PDE4D; PDE3B; PDE5A
58-14-0	DHFR; ; HEXB
58-18-4	AR; ESR1
58-19-5	AR
58-22-0	AR; ESR1; NR3C2
58-25-3	GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ
58-27-5	GGCX; VKORC1; VKORC1L1; F2; F7; F9; F10; PROC; PROS1; PROZ; NQO2; NQO1; BGLAP
58-32-2	PDE10A; ADA; PDE5A; PDE4A; RCAN1; ORM1
58-38-8	DRD2; HRH1; ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
58-39-9	DRD2; DRD1; CALM1
58-40-2	DRD2; HTR2A; HTR2C; DRD1; DRD4; CHRM4; CHRM2; CHRM3; CHRM1; ADRA1B; CHRM5; ADRA1A; HRH1; ADRA1D
58-46-8	SLC18A2; DRD2
58-54-8	ATP1A1; SLC12A1; LEF1; GSTP1
58-55-9	ADORA1; ADORA2A; ADORA2B; PDE4B; PDE5A; PDE4A; PDE3A; HDAC2; CPNE1; HM13; NOMO1; PARP1; RIC3; TTLL3
58-61-7	ADORA2A; ADORA2B; ADORA3; ADORA1
58-63-9	; PNP; deoD
58-68-4	UGDH; ADH1A; SORD; ADH4; ADH1C; ADH1B; ADH7; GPD1; LDHAL6A; ADH5; AKR1B1; HSD17B10; MDH2; LDHA; ME2; HSD17B4; LDHAL6B; LDHC; LDHB; EHHADH; HADH; ME3; BDH1; MDH1; HIBADH; HSD17B3; HMGCR; ME1; PHGDH; HSD17B7; IDH3G; IDH3B; IDH3A; HSD17B1; HSD17B2; RDH5; H6PD; HSD17B8; AKR1C4; IMPDH2; AKR1C3; HPGD; TSTA3; AKR1C1; HSD11B1; HSD3B2; HSD3B1; IMPDH1; HADHA; ALDH2; HSD11B2; AKR1C2; NSDHL; ALDH3B2; ALDH6A1; ALDH3A1; ALDH1A1; GAPDHS; ALDH9A1; ALDH1A3; ALDH1B1; ALDH3B1; GAPDH; ALDH1A2; ALDH3A2; ALDH5A1; ALDH7A1; BLVRB; PYCR2; PYCR1; GLUD1; PDHB; PDHA2; PDHA1; BLVRA; ACADS; DHFR; OGDH; GLUD2; DHCR7; NQO2; MT-ND2; AASS; MT-ND3; NDUFS7; MTHFD1; MTHFD2; ALDH4A1; CYB5R3; NDUFA11; MT-ND4; QDPR; MT-ND1; NNT; NDUFA5; NDUFA9; MT-ND4L; NDUFA10; NDUFA7; NDUFA1; MT-ND6; MT-ND5; NDUFA4; NDUFA6; NDUFAB1; NDUFA2; NDUFA8; NDUFA3; NDUFB8; NDUFC2; NDUFB1; NDUFS1; NDUFB10; NDUFB4; NDUFB3; NDUFB2; NDUFB7; NDUFB9; NDUFS2; NDUFB5; NDUFC1; NDUFB6; NDUFV3; DLD; NDUFS3; GSR; NDUFA12; NDUFS5; NDUFS4; NDUFV1; NDUFV2; NDUFA13; CDO1; NDUFS6; NDUFA4L2; NDUFS8; CYP4A11; DLAT; AMT; MSMO1; HMOX1; HMOX2; CYP17A1; TYR
58-73-1	HRH1; CHRM2
58-74-2	PDE4B; PDE10A
58-85-5	PCCB; HLCS; MCCC2; ACACB; MCCC1; PC; PCCA; ACACA
58-89-9	GABRB1; GLRA1; GLRA2; GLRA3; GLRB; GABRB3; GABRR1; PGR; ESR1; NR1I2
58-93-5	SLC12A3; KCNMA1
58-94-6	SLC12A3; CA1; CA2
58-96-8	LSM6; tsx
58-97-9	rsuA; UCKL1; galT; thyA; GLT6D1; LSM6; upp; B4GALT1; ISG20; pyrF; pyrR; upp; arnA
580-72-3	DHRS4L2
58066-85-6	ABCB1
581-75-9	; 
5813-86-5	PARP1
5818-17-7	CHRM1; HRH2
582-60-5	cobT
583-92-6	
58581-89-8	HRH1; HRH2; PLA2G1B; LTC4S
586-06-1	ADRB2
586-60-7	SCN10A
5863-40-1	cat
586379-66-0	MAPK14
587-33-7	TH
58880-19-6	HDAC8; acuC1; HDAC7
589-09-3	E
58944-73-3	rdmB; ermC'; taqIM; rsrIM
58957-92-9	TOP2A
58970-76-6	LTA4H; 
59-01-8	rpsL
59-02-9	NR1I2; PRKCB; ALOX5; PRKCA; DGKA; PPP2CB; PPP2CA; SEC14L4; SEC14L3; SEC14L2
59-05-2	DHFR; TYMS; ATIC
59-30-3	FOLR3; FOLR2; FOLR1
59-31-4	oxoO
59-32-5	HRH1
59-41-6	ATP1A1
59-42-7	ADRA1A; ADRA1B; ADRA1D
59-46-1	SCN10A; GRIN3A; HTR3A; SLC6A3; CHRNA2; KCNMA1; KCNMB1; KCNMB2; KCNMB3; KCNMB4; KCNN4; KCNN1; KCNN2; KCNN3; PLA2G4A; ASPG; MAOA; MAOB; DNMT1; DNMT3A
59-52-9	APP
59-56-3	algC; PYGM; rmlA; malP; agp
59-63-2	MAOA; MAOB
59-66-5	CA1; CA2; CA4; CA12; CA14; CA3; CA7; AQP1
59-67-6	HCAR3; HCAR2; QPRT; NNMT
59-87-0	poxB; gor; mdh; citC
59-92-7	DRD1; DRD5; DRD2; DRD3; DRD4
59-96-1	ADRA1A; ADRA2A; ADRA2C; ADRA2B; CALM1; ADRB2; ADRA1B; ADRA1D
59-98-3	ADRA1A; ADRA2A; HRH1; HRH2; ADRA2C; ADRA2B
59-99-4	ACHE
590-90-9	FKBP1A
591-50-4	celCCF
591-81-1	SLC52A2; GABRB1
59122-46-2	PTGER3; PTGER2; PTGER4; PTGER1
59170-23-9	ADRB1; ADRB2; ADRA1A
59277-89-3	TK; ; 
59283-35-1	PLA2G2A
593-75-9	MB
593960-11-3	PIK3CG; PIK3C3
594-45-6	phnX; PPBP
59467-70-8	GABRA1; GABRA2; GABRA5; GABRA3; GABRA4; GABRA6
595-33-5	PGR; NR3C1
5959-95-5	murI
59643-91-3	RRM2; RRM1
59708-52-0	OPRM1; OPRD1; OPRK1
59729-33-8	SLC6A4; HRH1
598-41-4	MMP8
59803-98-4	ADRA2A; ADRA2B; ADRA2C
59804-37-4	PTGS2; PTGS1
59865-13-3	CAMLG; PPP3R2; PPIA; PPIF
599-64-4	ESRRG
599-79-1	ALOX5; PTGS2; PTGS1; PPARG; CHUK; IKBKB; SLC7A11; ACAT1; TBXAS1; PLA2G1B
59939-16-1	ADRA1A; ADRA1B; ADRA1D; ADRA2A; ADRA2B; ADRA2C
59989-18-3	DPYD; AOX1; XDH
60-12-8	opd
60-18-4	TH; YARS2; YARS; TAT
60-23-1	SST; NPY2R
60-24-2	E; GLO1; PNPO; gfo; SERPINA1; LGALS1; ninB; SCMH1; pdxH; 
60-26-4	CHRNA2
60-32-2	PLG; PLAT; LPA
60-35-5	amiC
60-40-2	CHRNA2; CHRNA7; CHRNA4; CHRNB2
60-49-1	CHRM3; CHRM1; CHRM2
